,Unnamed: 0.1,Unnamed: 0,Developer,Repository Name,Number of Stars,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
35,35,35,@rullzer,nextcloud/server,32998,PHP,"['javascript', 'open-source', 'php', 'enterprise', 'design', 'opensource', 'cloud', 'ux', 'nextcloud', 'owncloud', 'decentralized', 'sharing', 'file-sharing', 'collaboration', 'distributed', 'free-software', 'usability', 'self-hosting', 'federation', 'hacktoberfest']",0.0118443316412859,0.0067681895093062,0.6869712351945855,0.0304568527918781,1.0,0.7225042301184433,0.0253807106598984,0.0795262267343485,0.155668358714044,0.155668358714044,Security / Networking
36,36,36,@LarFii,HKUDS/RAG-Anything,9146,Python,"['retrieval-augmented-generation', 'multi-modal-rag']",1.0,0.0,0.0,0.1011904761904761,0.0,0.0892857142857142,0.0654761904761904,0.0238095238095238,0.1071428571428571,0.0059523809523809,AI / Data / ML
37,37,37,@jdx,jdx/mise,20660,Rust,['No topics'],0.0605095541401273,0.0031847133757961,0.0175159235668789,0.2595541401273885,0.0429936305732484,0.1273885350318471,1.0,0.0159235668789808,0.0254777070063694,0.0350318471337579,CLI / Utilities / Developer Tools
38,38,38,@tannerlinsley,TanStack/router,11827,TypeScript,"['react', 'javascript', 'url', 'search', 'framework', 'typescript', 'router', 'state-management', 'ssr', 'routing', 'rpc', 'route', 'typesafe', 'fullstack', 'searchparams', 'server-functions']",0.0018343815513626,0.0,1.0,0.0007861635220125,0.0348532494758909,0.0382599580712788,0.0172955974842767,0.720125786163522,0.0,0.0576519916142557,Web / Mobile / Application Development
39,39,39,@treoden,evershopcommerce/evershop,8481,TypeScript,"['react', 'ecommerce', 'typescript', 'ecommerce-platform', 'ecommerce-framework']",0.0028571428571428,0.0,0.8657142857142858,0.0514285714285714,0.0085714285714285,1.0,0.0228571428571428,0.0942857142857142,0.0028571428571428,0.0314285714285714,Data Platforms / Backend Services / Integrations
40,40,40,@TibixDev,TibixDev/winboat,14205,TypeScript,"['windows', 'linux', 'docker', 'docker-compose', 'virtualization', 'rdp']",0.0,0.0,0.5833333333333334,1.0,0.0416666666666666,0.0833333333333333,0.125,0.2083333333333333,0.0833333333333333,0.25,DevOps / Infrastructure / Cloud
41,41,41,@maidul98,Infisical/infisical,23369,TypeScript,"['go', 'cli', 'golang', 'open-source', 'security', 'postgres', 'typescript', 'vault', 'acme', 'secret-management', 'secrets', 'environment-variables', 'pki', 'node-js', 'security-tools', 'secrets-management', 'certificate-management', 'secret-scanning', 'secret-manager', 'private-ca']",0.0046511627906976,0.0007155635062611,1.0,0.4536672629695885,0.1051878354203935,0.851520572450805,0.0189624329159212,0.0901610017889087,0.0268336314847942,0.124865831842576,Web / Mobile / Application Development
42,42,42,@hsliuping,hsliuping/TradingAgents-CN,11959,Python,['No topics'],1.0,0.0,0.0602409638554216,0.5783132530120482,0.0120481927710843,0.0963855421686747,0.7108433734939759,0.0,0.0602409638554216,0.3373493975903614,AI / Data / ML
43,43,43,@alckasoc,simular-ai/Agent-S,7739,Python,"['memory', 'planning', 'cua', 'ai-agents', 'grounding', 'computer-automation', 'mllm', 'retrieval-augmented-generation', 'in-context-reinforcement-learning', 'agent-computer-interface', 'gui-agents', 'computer-use', 'computer-use-agent']",1.0,0.0,0.0,0.3868613138686131,0.0145985401459854,0.0,0.072992700729927,0.0583941605839416,0.1824817518248175,0.0437956204379562,AI / Data / ML
44,44,44,@LDOUBLEV,PaddlePaddle/PaddleOCR,62037,Python,"['ocr', 'pdf-parser', 'kie', 'document-translation', 'rag', 'chineseocr', 'ai4science', 'pp-ocr', 'document-parsing', 'pp-structure', 'pdf-extractor-rag', 'pdf2markdown', 'paddleocr-vl']",0.8141592920353983,0.336283185840708,0.0,0.7522123893805309,0.0088495575221238,0.2212389380530973,0.1150442477876106,0.2212389380530973,1.0,0.2389380530973451,Research / Experiments / Demos
45,45,45,@LeiWang1999,tile-ai/tilelang,3788,C++,['No topics'],1.0,0.1219512195121951,0.0,0.5121951219512195,0.024390243902439,0.5121951219512195,0.1219512195121951,0.048780487804878,0.6097560975609756,0.073170731707317,AI / Data / ML
46,46,46,@SkalskiP,roboflow/rf-detr,3909,Python,"['machine-learning', 'computer-vision', 'object-detection', 'sota', 'instance-segmentation', 'detr', 'rf-detr']",1.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,0.2777777777777778,0.5,0.8333333333333334,0.9444444444444444,AI / Data / ML
47,47,47,@jingyaogong,jingyaogong/minimind,30969,Python,"['artificial-intelligence', 'large-language-model']",1.0,0.1206896551724138,0.0,0.0,0.0,0.0,0.8448275862068966,0.0,0.4827586206896552,0.0862068965517241,AI / Data / ML
48,48,48,@karpathy,karpathy/nanoGPT,47303,Python,['No topics'],1.0,0.0,0.0,0.0444444444444444,0.0,0.0,0.0,0.0,0.0444444444444444,0.0888888888888888,AI / Data / ML
49,49,49,@CloudsOfChange,anthropics/prompt-eng-interactive-tutorial,24805,Jupyter Notebook,['No topics'],0.5625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,1.0,Education / Tutorials / Docs
50,50,50,@zealoushacker,anthropics/claude-cookbooks,24316,Jupyter Notebook,['No topics'],1.0,0.0,0.0066666666666666,0.1,0.0,0.0133333333333333,0.0133333333333333,0.0,0.5666666666666667,0.5066666666666667,AI / Data / ML
51,51,51,@davila7,davila7/claude-code-templates,9100,JavaScript,"['claude', 'anthropic', 'anthropic-claude', 'claude-code']",0.3277972027972028,0.0034965034965034,0.1372377622377622,0.0463286713286713,0.0594405594405594,0.0603146853146853,1.0,0.0183566433566433,0.0209790209790209,0.0236013986013986,CLI / Utilities / Developer Tools
52,52,52,@qin-ctx,volcengine/MineContext,2424,Python,"['electron', 'react', 'javascript', 'python', 'agent', 'typescript', 'memory', 'python3', 'embedding-models', 'rag', 'vector-database', 'vision-language-model', 'proactive-ai', 'context-engineering']",0.2025316455696202,0.0031645569620253,1.0,0.0664556962025316,0.0316455696202531,0.1139240506329113,0.0664556962025316,0.0253164556962025,0.0443037974683544,0.0537974683544303,Web / Mobile / Application Development
53,53,53,@karpathy,karpathy/micrograd,13270,Jupyter Notebook,['No topics'],1.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.1333333333333333,0.2666666666666666,0.0,AI / Data / ML
54,54,54,@crutkas,microsoft/PowerToys,124989,C#,"['windows', 'color-picker', 'command-palette', 'desktop', 'windows-10', 'keyboard-manager', 'windows-11', 'powertoys', 'fancyzones', 'microsoft-powertoys', 'powerrename']",0.0042492917847025,0.7464589235127479,0.0113314447592068,0.0099150141643059,0.0099150141643059,0.0113314447592068,1.0,0.3611898016997167,0.3980169971671388,0.3838526912181303,CLI / Utilities / Developer Tools
55,55,55,@ljharb,nvm-sh/nvm,88489,Shell,"['nodejs', 'shell', 'bash', 'zsh', 'node', 'install', 'nvm', 'posix', 'lts', 'version-manager', 'node-js', 'posix-compliant', 'nvmrc']",0.0,0.0,0.0,0.0621212121212121,0.006060606060606,0.0045454545454545,1.0,0.0212121212121212,0.006060606060606,0.0045454545454545,CLI / Utilities / Developer Tools
56,56,56,@DHowett,microsoft/terminal,100682,C++,"['windows', 'console', 'terminal', 'command-line', 'wsl', 'cmd', 'hacktoberfest', 'contributions-welcome', 'windows-console', 'good-first-issue', 'windows-terminal']",0.0,0.4519543973941368,0.0,0.004885993485342,0.000814332247557,0.0423452768729641,1.0,0.0415309446254071,0.4381107491856677,0.4421824104234527,CLI / Utilities / Developer Tools
